Date,S&P Comp. P,Dividend D,Earnings E,Price Index CPI,Date Fraction,Long Interest Rate GS10,Real Price,Real Dividend,Total Return Price,Real Earnings,TR Scaled Earnings,Ratio P/E10 or CAPE,Ratio TR P/E10 or TR CAPE,Excess CAPE Yield,Total Bond Returns,Total Bond Returns,10 Year Annualized Stock Real Return,10 Year Annualized Bonds Real Return,Real 10 Year Excess Annualized Returns
1871.01,4.44,0.26,0.40,12.46,1871.04,5.32,118.55,6.94,  118.55 ,10.68,  10.68 ,NA,NA,,1.00,1.00,13.06%,9.25%,3.81%
1871.02,4.50,0.26,0.40,12.84,1871.13,5.32,116.59,6.74,  117.15 ,10.36,  10.41 ,NA,NA,,1.00,0.97,13.09%,9.46%,3.62%
1871.03,4.61,0.26,0.40,13.03,1871.21,5.33,117.69,6.64,  118.82 ,10.21,  10.31 ,NA,NA,,1.00,0.96,13.10%,9.62%,3.48%
1871.04,4.74,0.26,0.40,12.56,1871.29,5.33,125.60,6.89,  127.37 ,10.60,  10.75 ,NA,NA,,1.00,1.00,12.21%,9.10%,3.11%
1871.05,4.86,0.26,0.40,12.27,1871.38,5.33,131.77,7.05,  134.23 ,10.85,  11.05 ,NA,NA,,1.00,1.03,12.26%,8.95%,3.31%
1871.06,4.82,0.26,0.40,12.08,1871.46,5.34,132.74,7.16,  135.83 ,11.02,  11.27 ,NA,NA,,1.00,1.05,12.31%,8.77%,3.54%
1871.07,4.73,0.26,0.40,12.08,1871.54,5.34,130.27,7.16,  133.91 ,11.02,  11.32 ,NA,NA,,1.00,1.06,12.00%,8.66%,3.34%
1871.08,4.79,0.26,0.40,11.89,1871.63,5.34,134.03,7.28,  138.40 ,11.19,  11.56 ,NA,NA,,1.00,1.08,11.19%,8.27%,2.93%
1871.09,4.84,0.26,0.40,12.18,1871.71,5.35,132.25,7.10,  137.18 ,10.93,  11.34 ,NA,NA,,1.00,1.06,11.00%,8.10%,2.90%
1871.1,4.59,0.26,0.40,12.37,1871.79,5.35,123.49,7.00,  128.69 ,10.76,  11.22 ,NA,NA,,1.00,1.05,11.48%,8.17%,3.31%
1871.11,4.64,0.26,0.40,12.37,1871.88,5.35,124.84,7.00,  130.70 ,10.76,  11.27 ,NA,NA,,1.00,1.05,11.53%,8.26%,3.27%
1871.12,4.74,0.26,0.40,12.65,1871.96,5.36,124.65,6.84,  131.10 ,10.52,  11.06 ,NA,NA,,1.00,1.03,11.21%,8.50%,2.71%
1872.01,4.86,0.26,0.40,12.65,1872.04,5.36,127.81,6.92,  135.03 ,10.58,  11.18 ,NA,NA,,1.00,1.04,10.77%,8.49%,2.28%
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,128.33,7.01,  136.20 ,10.65,  11.30 ,NA,NA,,1.00,1.04,10.38%,8.39%,1.98%
1872.03,5.04,0.27,0.41,12.84,1872.21,5.40,130.58,7.00,  139.20 ,10.56,  11.26 ,NA,NA,,1.00,1.03,10.17%,8.55%,1.62%
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,131.29,6.93,  140.58 ,10.39,  11.13 ,NA,NA,,1.00,1.01,10.01%,8.69%,1.32%
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,131.29,7.01,  141.20 ,10.45,  11.24 ,NA,NA,,1.00,1.01,9.78%,8.59%,1.19%
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,130.97,7.15,  141.50 ,10.59,  11.45 ,NA,NA,,1.00,1.02,9.65%,8.41%,1.24%
1872.07,5.10,0.28,0.42,12.84,1872.54,5.47,132.13,7.34,  143.42 ,10.82,  11.74 ,NA,NA,,1.00,1.04,10.25%,8.35%,1.90%
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,129.62,7.37,  141.35 ,10.80,  11.78 ,NA,NA,,1.00,1.04,10.68%,8.32%,2.36%
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,126.37,7.40,  138.49 ,10.79,  11.82 ,NA,NA,,1.00,1.03,11.37%,8.70%,2.67%
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,129.73,7.66,  142.86 ,11.09,  12.22 ,NA,NA,,1.00,1.06,10.87%,8.56%,2.31%
1872.11,4.95,0.30,0.43,13.13,1872.88,5.54,125.46,7.52,  138.85 ,10.84,  11.99 ,NA,NA,,1.00,1.03,10.86%,8.98%,1.88%
1872.12,5.07,0.30,0.43,12.94,1872.96,5.56,130.39,7.72,  145.02 ,11.06,  12.30 ,NA,NA,,1.00,1.05,10.59%,8.92%,1.67%
1873.01,5.11,0.30,0.43,12.94,1873.04,5.58,131.42,7.78,  146.89 ,11.12,  12.43 ,NA,NA,,1.01,1.05,10.44%,8.91%,1.52%
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,129.59,7.67,  145.56 ,10.95,  12.29 ,NA,NA,,1.01,1.03,10.24%,9.02%,1.21%
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,128.58,7.74,  145.15 ,11.01,  12.43 ,NA,NA,,1.01,1.04,10.56%,9.10%,1.46%
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,126.82,7.80,  143.90 ,11.07,  12.56 ,NA,NA,,1.01,1.05,11.04%,9.18%,1.86%
1873.05,5.05,0.31,0.44,12.94,1873.38,5.54,129.88,8.04,  148.12 ,11.38,  12.98 ,NA,NA,,1.01,1.07,10.69%,9.03%,1.66%
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,131.96,8.35,  151.29 ,11.79,  13.52 ,NA,NA,,1.01,1.11,10.93%,9.00%,1.93%
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,131.69,8.41,  151.79 ,11.86,  13.67 ,NA,NA,,1.01,1.12,11.00%,9.20%,1.80%
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,131.69,8.48,  152.60 ,11.92,  13.82 ,NA,NA,,1.01,1.12,10.48%,9.17%,1.31%
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,121.62,8.55,  141.76 ,11.99,  13.98 ,NA,NA,,1.01,1.13,11.59%,9.26%,2.33%
1873.1,4.19,0.33,0.46,12.27,1873.79,5.50,113.60,8.81,  133.27 ,12.34,  14.47 ,NA,NA,,1.01,1.16,12.02%,8.99%,3.04%
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,113.04,9.16,  133.51 ,12.80,  15.12 ,NA,NA,,1.01,1.21,12.34%,8.73%,3.61%
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,120.78,9.02,  143.53 ,12.57,  14.94 ,NA,NA,,1.01,1.18,11.23%,8.85%,2.37%
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,125.38,8.88,  149.88 ,12.38,  14.79 ,NA,NA,,1.01,1.17,10.47%,9.00%,1.47%
1874.02,4.80,0.33,0.46,12.37,1874.13,5.44,129.14,8.88,  155.26 ,12.38,  14.88 ,NA,NA,,1.01,1.18,10.43%,8.96%,1.47%
1874.03,4.73,0.33,0.46,12.37,1874.21,5.40,127.26,8.88,  153.89 ,12.38,  14.97 ,NA,NA,,1.01,1.19,10.54%,8.92%,1.62%
1874.04,4.60,0.33,0.46,12.18,1874.29,5.37,125.70,9.02,  152.90 ,12.57,  15.29 ,NA,NA,,1.01,1.22,10.39%,8.95%,1.44%
1874.05,4.48,0.33,0.46,12.08,1874.38,5.34,123.38,9.09,  151.01 ,12.67,  15.51 ,NA,NA,,1.01,1.23,9.89%,9.06%,0.84%
1874.06,4.46,0.33,0.46,11.80,1874.46,5.30,125.80,9.31,  154.92 ,12.98,  15.98 ,NA,NA,,1.01,1.27,9.22%,8.76%,0.46%
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,124.80,9.23,  154.63 ,12.87,  15.95 ,NA,NA,,1.01,1.27,9.43%,8.93%,0.50%
1874.08,4.47,0.33,0.46,11.80,1874.63,5.24,126.08,9.31,  157.19 ,12.98,  16.18 ,NA,NA,,1.01,1.29,9.98%,8.81%,1.17%
1874.09,4.54,0.33,0.46,11.80,1874.71,5.20,128.06,9.31,  160.62 ,12.98,  16.27 ,NA,NA,,1.01,1.30,9.57%,8.89%,0.68%
1874.1,4.53,0.33,0.46,11.61,1874.79,5.17,129.87,9.46,  163.88 ,13.19,  16.64 ,NA,NA,,1.01,1.33,9.17%,8.80%,0.37%
1874.11,4.57,0.33,0.46,11.51,1874.88,5.14,132.10,9.54,  167.70 ,13.30,  16.88 ,NA,NA,,1.01,1.35,9.01%,8.92%,0.09%
1874.12,4.54,0.33,0.46,11.51,1874.96,5.10,131.23,9.54,  167.60 ,13.30,  16.98 ,NA,NA,,1.01,1.36,9.18%,9.01%,0.17%
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,131.23,9.47,  168.61 ,13.06,  16.78 ,NA,NA,,1.01,1.37,8.92%,8.97%,-0.05%
1875.02,4.53,0.33,0.44,11.51,1875.13,5.03,130.94,9.39,  169.25 ,12.81,  16.56 ,NA,NA,,1.01,1.38,9.15%,8.81%,0.34%
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,132.68,9.32,  172.49 ,12.57,  16.35 ,NA,NA,,1.01,1.39,9.28%,9.03%,0.25%
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,133.31,9.17,  174.31 ,12.23,  16.00 ,NA,NA,,1.01,1.39,9.07%,8.95%,0.12%
1875.05,4.47,0.32,0.42,11.32,1875.38,4.91,131.38,9.33,  172.80 ,12.29,  16.17 ,NA,NA,,1.01,1.43,9.35%,8.90%,0.45%
1875.06,4.38,0.32,0.41,11.13,1875.46,4.87,130.94,9.42,  173.25 ,12.26,  16.22 ,NA,NA,,1.01,1.47,9.59%,8.94%,0.65%
1875.07,4.39,0.31,0.40,11.13,1875.54,4.83,131.24,9.34,  174.67 ,12.01,  15.98 ,NA,NA,,1.01,1.48,9.83%,8.77%,1.05%
1875.08,4.41,0.31,0.39,11.23,1875.63,4.79,130.72,9.19,  175.00 ,11.66,  15.61 ,NA,NA,,1.01,1.48,10.46%,8.83%,1.63%
1875.09,4.37,0.31,0.39,11.13,1875.71,4.75,130.64,9.19,  175.92 ,11.51,  15.50 ,NA,NA,,1.01,1.50,10.44%,8.83%,1.61%
1875.1,4.30,0.31,0.38,11.13,1875.79,4.71,128.54,9.12,  174.13 ,11.26,  15.25 ,NA,NA,,1.01,1.51,11.23%,8.80%,2.43%
1875.11,4.37,0.30,0.37,11.04,1875.88,4.67,131.76,9.12,  179.52 ,11.10,  15.13 ,NA,NA,,1.01,1.53,11.50%,8.54%,2.96%
1875.12,4.37,0.30,0.36,10.94,1875.96,4.63,132.91,9.12,  182.11 ,10.95,  15.00 ,NA,NA,,1.01,1.56,11.04%,8.16%,2.88%
1876.01,4.46,0.30,0.35,10.85,1876.04,4.59,136.84,9.20,  188.55 ,10.84,  14.94 ,NA,NA,,1.00,1.58,10.95%,8.28%,2.67%
1876.02,4.52,0.30,0.35,10.85,1876.13,4.58,138.68,9.20,  192.14 ,10.64,  14.74 ,NA,NA,,1.00,1.59,11.00%,8.25%,2.75%
1876.03,4.51,0.30,0.34,10.85,1876.21,4.57,138.37,9.20,  192.78 ,10.43,  14.53 ,NA,NA,,1.00,1.60,10.90%,8.35%,2.55%
1876.04,4.34,0.30,0.33,10.75,1876.29,4.56,134.33,9.29,  188.23 ,10.32,  14.46 ,NA,NA,,1.00,1.62,11.19%,8.35%,2.84%
1876.05,4.18,0.30,0.33,10.37,1876.38,4.54,134.13,9.63,  189.07 ,10.48,  14.78 ,NA,NA,,1.00,1.69,11.24%,8.20%,3.04%
1876.06,4.15,0.30,0.32,10.09,1876.46,4.53,136.94,9.90,  194.19 ,10.56,  14.97 ,NA,NA,,1.00,1.74,11.62%,8.00%,3.62%
1876.07,4.10,0.30,0.31,10.09,1876.54,4.52,135.29,9.90,  193.02 ,10.34,  14.75 ,NA,NA,,1.00,1.75,11.76%,7.83%,3.93%
1876.08,3.93,0.30,0.31,10.18,1876.63,4.51,128.46,9.81,  184.45 ,10.03,  14.39 ,NA,NA,,1.00,1.74,12.25%,7.77%,4.48%
1876.09,3.69,0.30,0.30,10.28,1876.71,4.50,119.50,9.72,  172.75 ,9.72,  14.04 ,NA,NA,,1.00,1.74,13.32%,7.84%,5.48%
1876.1,3.67,0.30,0.29,10.47,1876.79,4.49,116.69,9.54,  169.84 ,9.33,  13.57 ,NA,NA,,1.00,1.71,13.84%,8.01%,5.83%
1876.11,3.60,0.30,0.29,10.56,1876.87,4.47,113.44,9.45,  166.24 ,9.03,  13.24 ,NA,NA,,1.00,1.71,14.39%,8.07%,6.32%
1876.12,3.58,0.30,0.28,10.75,1876.96,4.46,110.81,9.29,  163.52 ,8.67,  12.79 ,NA,NA,,1.00,1.68,14.18%,8.10%,6.08%
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,107.97,8.84,  160.42 ,8.57,  12.73 ,NA,NA,,1.00,1.66,14.04%,8.00%,6.04%
1877.02,3.34,0.28,0.28,10.66,1877.12,4.44,104.30,8.80,  156.06 ,8.85,  13.24 ,NA,NA,,1.00,1.71,14.18%,7.56%,6.61%
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,103.62,8.91,  156.15 ,9.32,  14.04 ,NA,NA,,1.00,1.80,14.47%,7.05%,7.43%
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,93.48,8.37,  141.93 ,9.12,  13.84 ,NA,NA,,1.00,1.76,15.87%,7.32%,8.56%
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,91.81,7.94,  140.40 ,9.00,  13.77 ,NA,NA,,1.00,1.74,16.23%,7.48%,8.75%
1877.06,2.73,0.25,0.29,10.09,1877.46,4.40,90.08,8.08,  138.78 ,9.57,  14.74 ,NA,NA,,1.00,1.84,16.21%,6.99%,9.21%
1877.07,2.85,0.24,0.29,10.18,1877.54,4.40,93.16,7.71,  144.51 ,9.54,  14.79 ,NA,NA,,1.00,1.83,15.63%,7.20%,8.43%
1877.08,3.05,0.23,0.29,9.80,1877.62,4.39,103.57,7.70,  161.65 ,9.96,  15.55 ,NA,NA,,1.00,1.91,13.96%,6.63%,7.32%
1877.09,3.24,0.22,0.30,9.70,1877.71,4.38,111.10,7.46,  174.38 ,10.12,  15.88 ,NA,NA,,1.00,1.94,13.13%,6.63%,6.50%
1877.1,3.31,0.21,0.30,9.70,1877.79,4.37,113.50,7.14,  179.08 ,10.17,  16.05 ,NA,NA,,1.00,1.95,12.35%,6.48%,5.87%
1877.11,3.26,0.20,0.30,9.51,1877.87,4.36,114.02,6.97,  180.82 ,10.43,  16.55 ,NA,NA,,1.00,2.00,12.37%,6.12%,6.25%
1877.12,3.25,0.19,0.30,9.51,1877.96,4.35,113.67,6.65,  181.14 ,10.49,  16.72 ,NA,NA,,1.00,2.00,12.07%,5.85%,6.22%
1878.01,3.25,0.19,0.30,9.23,1878.04,4.34,117.19,6.82,  187.65 ,10.85,  17.37 ,NA,NA,,1.00,2.08,11.67%,5.38%,6.30%
1878.02,3.18,0.19,0.30,9.13,1878.12,4.33,115.86,6.86,  186.44 ,10.99,  17.69 ,NA,NA,,1.00,2.11,11.85%,5.39%,6.46%
1878.03,3.24,0.19,0.30,8.94,1878.21,4.32,120.56,6.98,  194.93 ,11.26,  18.20 ,NA,NA,,1.00,2.16,10.97%,5.17%,5.80%
1878.04,3.33,0.19,0.30,8.85,1878.29,4.31,125.24,7.02,  203.45 ,11.41,  18.53 ,NA,NA,,1.00,2.19,10.71%,5.18%,5.53%
1878.05,3.34,0.19,0.30,8.56,1878.37,4.30,129.80,7.22,  211.84 ,11.82,  19.29 ,NA,NA,,1.00,2.28,10.59%,4.96%,5.63%
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,135.53,7.35,  222.19 ,12.12,  19.87 ,NA,NA,,1.00,2.34,9.89%,4.85%,5.04%
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,136.76,7.24,  225.20 ,12.02,  19.79 ,NA,NA,,1.00,2.32,9.94%,4.85%,5.09%
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,134.08,7.12,  221.75 ,11.92,  19.71 ,NA,NA,,1.00,2.31,10.38%,4.97%,5.42%
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,136.80,7.09,  227.23 ,11.95,  19.85 ,NA,NA,,1.00,2.32,10.42%,4.97%,5.46%
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,136.76,7.14,  228.16 ,12.12,  20.21 ,NA,NA,,1.00,2.35,10.23%,4.73%,5.50%
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,137.92,7.19,  231.09 ,12.29,  20.59 ,NA,NA,,1.00,2.39,9.77%,4.49%,5.28%
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,140.31,7.32,  236.12 ,12.61,  21.22 ,NA,NA,,1.00,2.46,9.37%,4.25%,5.11%
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,143.93,7.30,  243.22 ,12.70,  21.46 ,NA,NA,,1.00,2.44,9.68%,4.74%,4.94%
1879.02,3.71,0.18,0.32,8.37,1879.12,4.20,147.46,7.29,  250.22 ,12.79,  21.70 ,NA,NA,,1.00,2.42,9.66%,4.97%,4.69%
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,146.74,7.44,  250.05 ,13.17,  22.44 ,NA,NA,,1.00,2.46,9.61%,4.96%,4.66%
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,153.33,7.59,  262.36 ,13.56,  23.19 ,NA,NA,,1.00,2.50,9.10%,4.82%,4.29%
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,160.24,7.66,  275.28 ,13.80,  23.70 ,NA,NA,,1.00,2.52,9.18%,5.06%,4.12%
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,162.95,7.82,  281.05 ,14.20,  24.49 ,NA,NA,,1.00,2.56,9.17%,4.92%,4.26%
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,164.31,7.80,  284.51 ,14.27,  24.70 ,NA,NA,,1.00,2.54,8.85%,5.02%,3.83%
1879.08,4.07,0.19,0.36,8.18,1879.62,4.10,165.53,7.86,  287.76 ,14.51,  25.22 ,NA,NA,,1.00,2.55,8.91%,5.00%,3.91%
1879.09,4.22,0.20,0.36,8.47,1879.71,4.09,165.84,7.66,  289.42 ,14.25,  24.86 ,NA,NA,,1.00,2.48,9.01%,5.21%,3.80%
1879.1,4.68,0.20,0.37,8.94,1879.79,4.07,174.14,7.32,  304.96 ,13.70,  24.00 ,NA,NA,,1.00,2.36,8.28%,5.77%,2.51%
1879.11,4.93,0.20,0.37,9.42,1879.87,4.05,174.17,7.01,  306.05 ,13.22,  23.23 ,NA,NA,,1.00,2.25,8.18%,6.31%,1.87%
1879.12,4.92,0.20,0.38,9.70,1879.96,4.04,168.71,6.86,  297.45 ,13.03,  22.97 ,NA,NA,,1.00,2.19,8.33%,6.47%,1.86%
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,170.22,6.83,  301.11 ,12.96,  22.93 ,NA,NA,,1.01,2.14,8.62%,7.03%,1.59%
1880.02,5.20,0.21,0.40,9.99,1880.12,3.99,173.22,7.00,  307.44 ,13.27,  23.55 ,NA,NA,,1.01,2.15,8.31%,6.99%,1.33%
1880.03,5.30,0.22,0.41,10.09,1880.21,3.97,174.88,7.09,  311.45 ,13.45,  23.95 ,NA,NA,,1.01,2.14,8.13%,7.04%,1.08%
1880.04,5.18,0.22,0.42,9.70,1880.29,3.94,177.62,7.54,  317.46 ,14.29,  25.54 ,NA,NA,,1.01,2.24,8.18%,6.59%,1.59%
1880.05,4.77,0.23,0.43,9.42,1880.37,3.91,168.52,7.95,  302.37 ,15.04,  26.99 ,NA,NA,,1.01,2.32,9.07%,6.10%,2.97%
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,172.72,8.29,  311.14 ,15.69,  28.26 ,NA,NA,,1.01,2.38,8.71%,5.84%,2.87%
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,180.65,8.47,  326.70 ,16.02,  28.97 ,NA,NA,,1.01,2.39,8.14%,5.80%,2.34%
1880.08,5.19,0.24,0.45,9.23,1880.62,3.83,187.14,8.65,  339.75 ,16.35,  29.67 ,NA,NA,,1.01,2.41,7.11%,5.38%,1.73%
1880.09,5.18,0.25,0.46,9.32,1880.71,3.81,184.87,8.74,  336.95 ,16.51,  30.09 ,NA,NA,,1.01,2.40,6.93%,5.32%,1.61%
1880.1,5.33,0.25,0.47,9.32,1880.79,3.78,190.23,8.92,  348.07 ,16.84,  30.80 ,NA,NA,,1.01,2.41,6.13%,5.28%,0.85%
1880.11,5.61,0.26,0.48,9.42,1880.87,3.75,198.20,9.01,  364.02 ,16.99,  31.20 ,NA,NA,,1.01,2.40,5.15%,5.60%,-0.45%
1880.12,5.84,0.26,0.49,9.51,1880.96,3.73,204.26,9.09,  376.55 ,17.14,  31.59 ,NA,NA,,1.01,2.39,4.59%,5.66%,-1.08%
1881.01,6.19,0.27,0.49,9.42,1881.04,3.70,218.69,9.36,  404.59 ,17.16,  31.75 ,18.47,24.14,-1.05%,1.00,2.42,4.54%,5.65%,-1.11%
1881.02,6.17,0.27,0.48,9.51,1881.12,3.69,215.80,9.44,  400.70 ,16.85,  31.28 ,18.15,23.66,-1.14%,1.00,2.41,4.68%,5.62%,-0.94%
1881.03,6.24,0.28,0.48,9.51,1881.21,3.69,218.25,9.62,  406.74 ,16.70,  31.12 ,18.27,23.77,-1.31%,1.00,2.42,4.24%,5.49%,-1.25%
1881.04,6.22,0.28,0.47,9.61,1881.29,3.68,215.40,9.70,  402.93 ,16.39,  30.66 ,17.95,23.31,-0.75%,1.00,2.40,4.60%,5.46%,-0.87%
1881.05,6.50,0.29,0.47,9.51,1881.37,3.67,227.35,9.97,  426.83 ,16.41,  30.81 ,18.87,24.46,-0.89%,1.00,2.43,4.12%,5.48%,-1.36%
1881.06,6.58,0.29,0.47,9.51,1881.46,3.67,230.14,10.14,  433.67 ,16.26,  30.65 ,19.03,24.62,-0.77%,1.00,2.44,4.03%,5.73%,-1.70%
1881.07,6.35,0.30,0.46,9.61,1881.54,3.66,219.90,10.22,  415.97 ,15.96,  30.19 ,18.12,23.40,-0.40%,1.00,2.43,4.46%,5.96%,-1.50%
1881.08,6.20,0.30,0.46,9.80,1881.62,3.65,210.54,10.19,  399.86 ,15.51,  29.45 ,17.29,22.29,0.21%,1.00,2.39,5.26%,6.16%,-0.91%
1881.09,6.25,0.31,0.45,10.18,1881.71,3.65,204.30,9.97,  389.60 ,14.79,  28.21 ,16.72,21.54,0.56%,1.00,2.31,6.53%,6.69%,-0.17%
1881.1,6.15,0.31,0.45,10.28,1881.79,3.64,199.17,10.04,  381.41 ,14.52,  27.80 ,16.26,20.93,0.67%,1.00,2.29,6.79%,6.79%,0.00%
1881.11,6.19,0.32,0.44,10.18,1881.87,3.63,202.34,10.30,  389.12 ,14.52,  27.92 ,16.48,21.19,0.51%,1.00,2.32,6.58%,6.82%,-0.23%
1881.12,6.01,0.32,0.44,10.18,1881.96,3.63,196.46,10.46,  379.48 ,14.38,  27.78 ,15.96,20.51,0.49%,1.00,2.33,7.21%,6.81%,0.40%
1882.01,5.92,0.32,0.44,10.18,1882.04,3.62,193.51,10.46,  375.48 ,14.36,  27.86 ,15.68,20.14,0.61%,1.00,2.34,7.83%,7.08%,0.75%
1882.02,5.79,0.32,0.44,10.28,1882.12,3.62,187.51,10.36,  365.51 ,14.19,  27.67 ,15.15,19.46,0.92%,1.00,2.33,8.18%,7.17%,1.01%
1882.03,5.78,0.32,0.44,10.28,1882.21,3.62,187.19,10.36,  366.56 ,14.17,  27.75 ,15.09,19.38,0.80%,1.00,2.33,8.59%,7.45%,1.14%
1882.04,5.78,0.32,0.44,10.37,1882.29,3.62,185.47,10.27,  364.88 ,14.01,  27.57 ,14.92,19.15,0.75%,1.00,2.32,8.80%,7.68%,1.12%
1882.05,5.71,0.32,0.44,10.47,1882.37,3.62,181.56,10.17,  358.85 ,13.86,  27.39 ,14.57,18.70,1.00%,1.00,2.30,9.02%,7.77%,1.25%
1882.06,5.68,0.32,0.44,10.56,1882.46,3.62,178.98,10.08,  355.41 ,13.71,  27.22 ,14.33,18.39,1.27%,1.00,2.29,9.10%,7.85%,1.25%
1882.07,6.00,0.32,0.43,10.47,1882.54,3.63,190.78,10.17,  380.53 ,13.81,  27.54 ,15.24,19.56,0.91%,1.00,2.32,8.11%,7.46%,0.65%
1882.08,6.18,0.32,0.43,10.56,1882.62,3.63,194.73,10.08,  390.09 ,13.65,  27.35 ,15.53,19.91,0.80%,1.00,2.30,7.89%,7.41%,0.49%
1882.09,6.24,0.32,0.43,10.28,1882.71,3.63,202.08,10.36,  406.55 ,14.01,  28.18 ,16.08,20.62,0.24%,1.00,2.37,7.21%,7.10%,0.11%
1882.1,6.07,0.32,0.43,10.18,1882.79,3.63,198.42,10.46,  400.92 ,14.11,  28.51 ,15.76,20.19,0.49%,1.00,2.40,7.62%,6.99%,0.62%
1882.11,5.81,0.32,0.43,10.09,1882.87,3.63,191.71,10.56,  389.15 ,14.21,  28.85 ,15.19,19.47,0.35%,1.00,2.43,7.66%,6.61%,1.05%
1882.12,5.84,0.32,0.43,9.99,1882.96,3.63,194.53,10.66,  396.68 ,14.32,  29.21 ,15.38,19.70,0.32%,1.00,2.46,7.24%,6.37%,0.88%
1883.01,5.81,0.32,0.43,9.99,1883.04,3.63,193.53,10.69,  396.46 ,14.24,  29.17 ,15.27,19.56,0.36%,1.00,2.47,7.08%,5.97%,1.12%
1883.02,5.68,0.32,0.43,10.09,1883.12,3.63,187.42,10.61,  385.75 ,14.02,  28.86 ,14.76,18.90,0.47%,1.00,2.45,7.10%,5.94%,1.15%
1883.03,5.75,0.32,0.42,9.99,1883.21,3.63,191.54,10.74,  396.06 ,14.07,  29.10 ,15.05,19.27,0.25%,1.00,2.49,6.72%,6.10%,0.61%
1883.04,5.87,0.32,0.42,9.90,1883.29,3.63,197.41,10.87,  410.09 ,14.13,  29.34 ,15.48,19.82,-0.03%,1.00,2.52,6.52%,6.13%,0.38%
1883.05,5.77,0.32,0.42,9.80,1883.37,3.63,195.94,11.01,  408.92 ,14.18,  29.59 ,15.34,19.63,0.15%,1.00,2.55,5.74%,6.17%,-0.43%
1883.06,5.82,0.33,0.42,9.51,1883.46,3.63,203.56,11.37,  426.82 ,14.52,  30.43 ,15.90,20.36,-0.08%,1.00,2.63,5.09%,6.13%,-1.04%
1883.07,5.73,0.33,0.41,9.32,1883.54,3.63,204.50,11.63,  430.83 ,14.72,  31.02 ,15.95,20.41,-0.29%,1.00,2.70,4.29%,6.19%,-1.90%
1883.08,5.47,0.33,0.41,9.32,1883.62,3.62,195.23,11.66,  413.33 ,14.63,  30.98 ,15.20,19.45,0.02%,1.00,2.70,4.94%,6.62%,-1.68%
1883.09,5.53,0.33,0.41,9.23,1883.71,3.62,199.40,11.81,  424.25 ,14.69,  31.26 ,15.49,19.83,-0.20%,1.00,2.74,5.02%,6.09%,-1.07%
1883.1,5.38,0.33,0.41,9.23,1883.79,3.62,193.99,11.84,  414.84 ,14.60,  31.23 ,15.05,19.26,0.21%,1.00,2.75,5.47%,5.96%,-0.48%
1883.11,5.46,0.33,0.40,9.13,1883.87,3.62,198.93,11.99,  427.53 ,14.66,  31.52 ,15.41,19.72,0.26%,1.00,2.79,5.64%,6.13%,-0.49%
1883.12,5.34,0.33,0.40,9.23,1883.96,3.62,192.55,11.90,  415.96 ,14.42,  31.16 ,14.90,19.07,0.36%,1.00,2.77,5.75%,6.38%,-0.64%
1884.01,5.18,0.33,0.39,9.23,1884.04,3.62,186.78,11.84,  405.63 ,14.15,  30.74 ,14.43,18.48,0.42%,1.00,2.78,6.14%,6.68%,-0.54%
